date,ticker,ret,price
2015-02-10,NVDA,-0.0490169,3401.46
2021-02-08,AMZN,0.0016792999999999999,566.02
2015-08-19,AA,-0.006004209999999999,94.88
2014-12-23,JPM,0.00525582,9.13
2016-01-08,PG,0.0209484,111.71
2020-01-16,AAPL,0.0009361500000000001,36.13
2019-01-09,INTC,0.0219489,84.78
2018-07-31,AAPL,-0.0128041,1823.24
2014-08-20,AA,-0.0073126599999999995,57.22
2014-03-18,GE,-0.0370059,104.71
2020-10-19,NVDA,0.00246227,1114.28
2020-01-06,AAPL,-0.00378531,126.17
2016-12-29,AAPL,0.0209775,2224.75
2023-12-29,INTC,0.0003953,49.87
2016-02-22,INTC,0.00019848,217.27
2017-11-07,PG,-0.00796461,184.06
2014-11-03,ADBE,-0.00424039,12.03
2024-04-18,AA,0.0431044,104.5
2019-10-31,NVDA,0.007606150000000001,1003.3
2022-05-20,AMZN,0.015525800000000001,110.81
2019-03-26,AAPL,0.011377900000000002,597.49
2016-06-01,AAPL,-0.025466600000000002,21.61
2019-01-23,GME,0.00649714,94.46
2021-05-21,AA,-0.102625,24.26
2019-02-11,DIS,-0.0027099800000000003,11.6
2019-12-31,DIS,0.0231367,466.27
2022-09-09,DIS,0.0260937,38.77
2022-02-02,INTC,0.005589960000000001,107.94
2022-08-17,AMZN,-0.00399744,122.77
2023-09-13,DIS,-0.00418758,31.39
2016-11-28,ADBE,0.0227631,24.57
2022-10-11,AMZN,0.00702763,865.65
2015-11-18,AA,-0.00048565999999999995,172.28
2020-05-20,AAPL,0.005723120000000001,27.32
2018-12-28,JPM,0.0036401800000000002,103.48
2016-08-30,GME,0.0165837,26.68
2015-06-04,DIS,0.00655699,93.27
2015-02-02,AAPL,-0.0325982,130.0
2019-09-17,AMZN,0.011913199999999999,252.03
2015-03-05,AAPL,-0.00556499,24.36
2019-08-29,GE,-0.00179535,13.67
2018-01-25,AAPL,-0.00020605,42.28
2016-06-01,AMZN,0.0191083,247.71
2017-01-26,JPM,-0.00436157,834.82
2020-12-01,PG,0.007655619999999999,127.24
2022-08-11,DIS,-0.0028291300000000004,45.03
2021-06-04,GME,-0.0329901,217.89
2018-09-28,JPM,0.00300014,535.2096
2022-11-07,AAPL,0.00676203,190.4
2013-11-21,JPM,0.0459899,15.08
2023-10-04,INTC,-0.057538200000000005,311.49
2020-03-09,GME,0.0447933,28.8
2021-04-06,GOOG,0.00922048,14.8
2017-03-15,AAPL,0.00658619,113.25
2022-09-14,AMZN,-0.0317702,48.24
2016-05-18,JPM,-0.11064500000000001,2740.09
2021-01-19,DIS,0.0024538,364.03
2023-10-17,AMZN,-0.028097300000000002,35.78
2013-08-26,GME,0.0046168599999999995,11.03
2022-04-20,GE,0.0102564,25.24
2015-06-19,ADBE,-0.0056212,107.23
2022-11-03,NVDA,0.0389848,81.43
2017-12-01,AA,-0.027044600000000002,103.27
2012-12-31,INTC,-0.0037936,518.0395
2024-03-20,GE,0.023786900000000003,223.96
2021-06-10,GME,0.00225663,45.69
2024-02-14,DIS,-0.0070948,118.33
2023-07-27,PG,0.00963521,166.9
2015-11-16,PG,-0.006859960000000001,107.0
2022-09-21,INTC,0.029783499999999997,9.030001
2023-02-22,GME,-0.00161827,225.5
2024-11-22,GME,-0.0171142,2992.91
2024-01-24,NVDA,-0.00208259,52.4
2023-10-04,DIS,0.010074399999999999,152.95
2015-11-13,GE,0.00674999,128.64
2023-12-06,NVDA,-0.00895709,22.85
2014-03-24,GE,-0.0127388,906.8301
2021-06-10,AMZN,0.006482959999999999,430.78
2015-12-24,JPM,-0.00889587,108.78
2016-03-31,AAPL,0.0166682,45.5
2024-11-18,GME,-0.007902860000000001,23.29
2024-04-01,ADBE,-0.00326705,118.23
2016-11-21,DIS,0.0134697,153.92
2015-11-27,DIS,-0.0169316,270.19
2021-06-22,INTC,0.0147792,107.72
2022-09-13,AAPL,0.14324299999999998,513.8695
2021-08-18,PG,0.0845303,363.06
2022-08-31,AMZN,-0.0184094,2706.0
2013-06-04,AMZN,-0.00396281,76.27
2022-05-17,GME,0.0,123.54
2018-08-31,DIS,0.0248209,154.53
2021-10-12,GOOG,-0.0008806,299.71
2023-05-11,AAPL,-0.0224385,30.23
2013-07-09,PG,-0.0283945,3.83
2017-07-28,AMZN,0.00331855,99.96
2023-07-31,PG,0.0204866,228.8
2015-03-04,JPM,0.0245944,52.65
2021-04-06,PG,0.0143251,209.51
